2521,9775,54487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51493,11338,1994,3183,10642,9775,4076,27327,23264,79727,389421,5976,2332,10643,2521,,,,,,,,,,,,,,,,,,,,,,,,,,
10644,4076,9513,7072,27327,23264,10642,11338,5725,79727,7073,1994,3183,55421,5976,9775,2332,6426,51493,389421,54487,9444,2521,10643,8148,2130,54890,4343,,,,,,,,,,,,,
2332,9775,10642,4609,2521,2130,11338,10643,5976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6426,2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9444,2521,10643,2130,10644,8148,4343,10642,11338,9513,7072,3183,1994,5725,7073,9775,23264,54487,389421,5976,79727,2332,,,,,,,,,,,,,,,,,,,
4609,2521,9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11338,9775,5976,5725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5725,2521,11338,9775,54487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775,10643,54487,10642,5976,2521,4609,11338,3183,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79727,9775,5976,5725,7073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775,4609,54487,7073,5976,11338,2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10642,5976,23264,79727,10644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775,2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11338,7072,27327,9775,389421,54487,5976,2332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11338,5976,9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10643,5725,11338,7073,1994,9775,51493,4609,54487,2521,5976,2332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233908,12696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5976,9775,54487,4609,2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
